loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
4.858913421630859,206.51556396484375,1.9e-05,0.07220216606498195,20,,,,,,,,,
3.9686717987060547,85.0537109375,3.9000000000000006e-05,0.1444043321299639,40,,,,,,,,,
2.7941776275634767,18.735977172851562,4.966292134831461e-05,0.21660649819494585,60,,,,,,,,,
1.6885900497436523,13.950605392456055,4.891385767790263e-05,0.2888086642599278,80,,,,,,,,,
1.094185733795166,7.6560516357421875,4.816479400749064e-05,0.36101083032490977,100,,,,,,,,,
0.8584808349609375,6.19099760055542,4.7415730337078655e-05,0.4332129963898917,120,,,,,,,,,
0.7345410346984863,3.9155895709991455,4.666666666666667e-05,0.5054151624548736,140,,,,,,,,,
0.6508819580078125,3.7673609256744385,4.591760299625468e-05,0.5776173285198556,160,,,,,,,,,
0.6221114158630371,2.4804208278656006,4.51685393258427e-05,0.6498194945848376,180,,,,,,,,,
0.5343022823333741,1.6655181646347046,4.4419475655430715e-05,0.7220216606498195,200,,,,,,,,,
0.5096436977386475,1.8907123804092407,4.3670411985018725e-05,0.7942238267148014,220,,,,,,,,,
0.4917515754699707,1.575441837310791,4.292134831460675e-05,0.8664259927797834,240,,,,,,,,,
0.4926741123199463,1.827258825302124,4.217228464419476e-05,0.9386281588447654,260,,,,,,,,,
,,,1.0,277,0.31821465492248535,13.926,79.492,5.027,,,,,
0.44777779579162597,1.5505940914154053,4.142322097378277e-05,1.0108303249097472,280,,,,,,,,,
0.39855756759643557,1.1081167459487915,4.067415730337079e-05,1.0830324909747293,300,,,,,,,,,
0.4198586463928223,1.3928691148757935,3.99250936329588e-05,1.1552346570397112,320,,,,,,,,,
0.3925786018371582,2.165630340576172,3.917602996254682e-05,1.2274368231046933,340,,,,,,,,,
0.3651707410812378,1.6296961307525635,3.842696629213483e-05,1.2996389891696751,360,,,,,,,,,
0.3802577257156372,1.0255465507507324,3.767790262172285e-05,1.371841155234657,380,,,,,,,,,
0.38314313888549806,1.0195711851119995,3.6928838951310864e-05,1.444043321299639,400,,,,,,,,,
0.3626481294631958,1.3633888959884644,3.6179775280898874e-05,1.516245487364621,420,,,,,,,,,
0.3231754541397095,1.4100487232208252,3.54307116104869e-05,1.5884476534296028,440,,,,,,,,,
0.34331636428833007,1.0406215190887451,3.468164794007491e-05,1.660649819494585,460,,,,,,,,,
0.3703978776931763,1.4853020906448364,3.393258426966292e-05,1.7328519855595668,480,,,,,,,,,
0.3253655195236206,1.2044925689697266,3.318352059925094e-05,1.8050541516245486,500,,,,,,,,,
0.33642873764038084,1.2974931001663208,3.243445692883895e-05,1.8772563176895307,520,,,,,,,,,
0.32226037979125977,0.9058510661125183,3.168539325842697e-05,1.9494584837545126,540,,,,,,,,,
,,,2.0,554,0.2405942976474762,14.1779,78.079,4.937,,,,,
0.33091115951538086,0.9073231220245361,3.0936329588014985e-05,2.0216606498194944,560,,,,,,,,,
0.3110315799713135,5.289670467376709,3.0187265917602998e-05,2.0938628158844765,580,,,,,,,,,
0.2764638185501099,0.9870787858963013,2.9438202247191012e-05,2.1660649819494586,600,,,,,,,,,
0.33137495517730714,0.7892141938209534,2.868913857677903e-05,2.2382671480144403,620,,,,,,,,,
0.32232487201690674,1.3550934791564941,2.7940074906367042e-05,2.3104693140794224,640,,,,,,,,,
0.26592791080474854,1.0337848663330078,2.7191011235955055e-05,2.3826714801444044,660,,,,,,,,,
0.2889319181442261,1.170236349105835,2.6441947565543072e-05,2.4548736462093865,680,,,,,,,,,
0.3027365684509277,0.9985950589179993,2.5692883895131086e-05,2.527075812274368,700,,,,,,,,,
0.27411885261535646,1.013641357421875,2.4943820224719103e-05,2.5992779783393503,720,,,,,,,,,
